"X1","X2","X3"
363985,"default",2012-09-01
363986,"default",2012-08-01
363987,"default",2012-07-01
363993,"not default",NA
363998,"not default",NA
363999,"not default",NA
364003,"default",2012-08-01
364004,"default",2012-08-01
364007,"not default",NA
364009,"not default",NA
364018,"not default",NA
364025,"default",2012-06-01
364031,"default",2012-08-01
364033,"default",2012-08-01
364036,"not default",NA
364043,"default",2012-06-01
364044,"not default",NA
364045,"default",2012-08-01
364048,"not default",NA
364049,"default",2012-05-01
364053,"default",2012-05-01
364056,"default",2012-06-01
364065,"default",2012-06-01
364066,"default",2012-08-01
364069,"default",2013-05-01
364070,"default",2012-08-01
364074,"default",2012-08-01
364077,"not default",NA
364080,"not default",NA
364090,"not default",NA
364091,"default",2012-08-01
364096,"default",2012-08-01
364102,"default",2012-08-01
364104,"default",2012-08-01
364105,"default",2012-08-01
364107,"not default",NA
364108,"default",2012-08-01
364113,"default",2012-08-01
364114,"default",2012-08-01
364116,"default",2012-06-01
364118,"default",2012-06-01
364128,"default",2012-05-01
364137,"not default",NA
364141,"not default",NA
364143,"not default",NA
364146,"not default",NA
364153,"not default",NA
364163,"default",2012-08-01
364164,"not default",NA
364167,"default",2012-08-01
364170,"default",2012-06-01
364174,"default",2012-08-01
364175,"not default",NA
364177,"default",2012-06-01
364180,"not default",NA
364182,"not default",NA
364184,"default",2012-07-01
364191,"default",2012-09-01
364201,"default",2012-08-01
364204,"default",2012-06-01
364206,"default",2012-08-01
364209,"default",2012-08-01
364210,"default",2012-06-01
364211,"default",2012-08-01
364214,"default",2012-06-01
364216,"default",2012-08-01
364218,"default",2012-06-01
364221,"not default",NA
364223,"default",2012-06-01
364225,"default",2012-08-01
364228,"default",2012-08-01
364234,"default",2012-11-01
364236,"default",2012-08-01
364238,"default",2012-10-01
364249,"default",2012-06-01
364255,"default",2012-08-01
364262,"default",2012-06-01
364266,"not default",NA
364267,"default",2012-08-01
364269,"default",2012-06-01
364273,"default",2012-05-01
364274,"default",2012-06-01
364275,"default",2012-08-01
364279,"default",2012-06-01
364281,"default",2012-08-01
364282,"not default",NA
364283,"not default",NA
364284,"default",2012-06-01
364289,"default",2012-07-01
364290,"default",2012-06-01
