"","X1","X2","X3"
"14339",71995,"not default",NA
"14340",72001,"not default",NA
"14341",72006,"not default",NA
"14342",72011,"not default",NA
"14343",72014,"not default",NA
"14344",72015,"not default",NA
"14345",72027,"not default",NA
"14346",72029,"not default",NA
"14347",72038,"not default",NA
"14348",72058,"not default",NA
"14349",72081,"not default",NA
"14350",72091,"not default",NA
"14351",72097,"not default",NA
"14352",72100,"not default",NA
"14353",72105,"not default",NA
"14354",72112,"not default",NA
"14355",72114,"not default",NA
"14356",72119,"not default",NA
"14357",72126,"not default",NA
"14358",72145,"not default",NA
"14359",72149,"not default",NA
"14360",72155,"not default",NA
"14361",72178,"not default",NA
"14362",72179,"not default",NA
"14363",72182,"not default",NA
"14364",72198,"not default",NA
"14365",72199,"not default",NA
"14366",72208,"not default",NA
"14367",72211,"not default",NA
"14368",72216,"not default",NA
"14369",72220,"not default",NA
"14370",72221,"not default",NA
"14371",72228,"not default",NA
"14372",72248,"not default",NA
"14373",72249,"not default",NA
"14374",72256,"not default",NA
"14375",72257,"not default",NA
"14376",72258,"not default",NA
"14377",72263,"not default",NA
"14378",72265,"not default",NA
"14379",72269,"not default",NA
"14380",72272,"not default",NA
"14381",72276,"not default",NA
"14382",72279,"not default",NA
"14383",72281,"not default",NA
"14384",72285,"not default",NA
"14385",72289,"not default",NA
"14386",72299,"not default",NA
"14387",72300,"not default",NA
"14388",72301,"not default",NA
"14389",72302,"not default",NA
"14390",72303,"not default",NA
"14391",72304,"not default",NA
"14392",72308,"not default",NA
"14393",72312,"not default",NA
"14394",72314,"not default",NA
"14395",72321,"not default",NA
"14396",72326,"not default",NA
"14397",72331,"not default",NA
"14398",72343,"not default",NA
"14399",72344,"not default",NA
"14400",72346,"not default",NA
"14401",72349,"not default",NA
"14402",72353,"not default",NA
"14403",72364,"not default",NA
"14404",72366,"not default",NA
"14405",72367,"not default",NA
"14406",72368,"not default",NA
"14407",72369,"not default",NA
"14408",72370,"not default",NA
"14409",72372,"not default",NA
"14410",72375,"not default",NA
"14411",72376,"not default",NA
"14412",72380,"not default",NA
"14413",72384,"not default",NA
"14414",72388,"not default",NA
"14415",72389,"not default",NA
"14416",72395,"not default",NA
"14417",72396,"not default",NA
"14418",72400,"not default",NA
"14419",72402,"not default",NA
"14420",72403,"not default",NA
"14421",72406,"not default",NA
"14422",72407,"not default",NA
"14423",72410,"not default",NA
"14424",72413,"not default",NA
