"","X1","X2","X3"
"39293",184561,"paid",2010-11-01
"39294",184567,"paid",2010-10-01
"39295",184569,"paid",2010-10-01
"39296",184573,"paid",2010-11-01
"39297",184582,"not paid",NA
"39298",184595,"paid",2010-08-01
"39299",184598,"paid",2011-05-01
"39300",184601,"paid",2010-09-01
"39301",184605,"paid",2010-10-01
"39302",184618,"not paid",NA
"39303",184622,"paid",2011-05-01
"39304",184632,"not paid",NA
"39305",184634,"paid",2010-09-01
"39306",184635,"paid",2010-08-01
"39307",184641,"paid",2011-04-01
"39308",184646,"paid",2011-05-01
"39309",184650,"paid",2011-03-01
"39310",184652,"paid",2011-05-01
"39311",184656,"not paid",NA
"39312",184657,"not paid",NA
"39313",184658,"paid",2010-10-01
"39314",184660,"paid",2011-05-01
"39315",184666,"paid",2011-05-01
"39316",184668,"paid",2011-10-01
"39317",184669,"paid",2011-05-01
"39318",184670,"paid",2011-03-01
"39319",184681,"paid",2012-01-01
"39320",184682,"paid",2011-02-01
"39321",184687,"paid",2011-03-01
"39322",184694,"paid",2010-10-01
"39323",184695,"paid",2011-05-01
"39324",184696,"paid",2011-01-01
"39325",184699,"paid",2011-03-01
"39326",184701,"paid",2012-01-01
"39327",184702,"paid",2011-04-01
"39328",184703,"paid",2011-04-01
"39329",184707,"paid",2011-06-01
"39330",184711,"paid",2010-08-01
"39331",184714,"paid",2010-10-01
"39332",184730,"paid",2012-03-01
"39333",184733,"paid",2011-03-01
"39334",184735,"paid",2010-08-01
"39335",184739,"paid",2010-09-01
"39336",184741,"paid",2012-03-01
"39337",184742,"paid",2011-05-01
"39338",184743,"not paid",NA
"39339",184747,"paid",2010-11-01
"39340",184748,"paid",2012-02-01
"39341",184752,"paid",2010-11-01
"39342",184753,"not paid",NA
"39343",184762,"paid",2011-05-01
"39344",184764,"paid",2011-01-01
"39345",184766,"paid",2011-03-01
"39346",184768,"paid",2012-02-01
"39347",184769,"paid",2011-03-01
"39348",184770,"paid",2011-01-01
"39349",184778,"paid",2011-03-01
"39350",184783,"not paid",NA
"39351",184784,"not paid",NA
"39352",184785,"not paid",NA
"39353",184792,"paid",2011-05-01
"39354",184793,"not paid",NA
"39355",184795,"paid",2011-01-01
"39356",184799,"not paid",NA
"39357",184800,"paid",2011-05-01
"39358",184804,"not paid",NA
"39359",184805,"paid",2010-12-01
"39360",184806,"paid",2010-12-01
"39361",184810,"paid",2011-01-01
"39362",184812,"paid",2010-08-01
"39363",184813,"paid",2010-08-01
"39364",184830,"paid",2010-08-01
"39365",184832,"paid",2011-05-01
"39366",184838,"paid",2010-08-01
"39367",184842,"paid",2011-04-01
"39368",184843,"not paid",NA
"39369",184845,"paid",2010-07-01
"39370",184846,"not paid",NA
"39371",184853,"not paid",NA
"39372",184854,"paid",2011-05-01
"39373",184858,"paid",2011-05-01
"39374",184866,"paid",2012-04-01
"39375",184871,"paid",2010-10-01
"39376",184872,"paid",2011-11-01
"39377",184873,"paid",2010-08-01
"39378",184874,"paid",2010-08-01
"39379",184876,"paid",2011-10-01
"39380",184879,"paid",2010-12-01
"39381",184884,"paid",2010-07-01
"39382",184888,"paid",2010-10-01
"39383",184898,"paid",2011-05-01
"39384",184900,"paid",2010-10-01
"39385",184901,"paid",2010-10-01
"39386",184904,"paid",2010-09-01
"39387",184905,"paid",2010-10-01
"39388",184906,"paid",2011-01-01
"39389",184916,"not paid",NA
"39390",184922,"not paid",NA
"39391",184924,"paid",2010-09-01
"39392",184927,"paid",2010-08-01
"39393",184930,"paid",2010-09-01
"39394",184931,"paid",2010-08-01
"39395",184934,"paid",2010-08-01
"39396",184935,"paid",2010-08-01
"39397",184936,"paid",2010-09-01
"39398",184937,"paid",2010-08-01
"39399",184952,"paid",2010-10-01
"39400",184953,"paid",2011-04-01
"39401",184958,"paid",2010-08-01
"39402",184959,"not paid",NA
"39403",184963,"paid",2011-02-01
"39404",184964,"paid",2011-02-01
"39405",184971,"paid",2011-02-01
"39406",184978,"paid",2010-10-01
"39407",184981,"paid",2011-03-01
"39408",184987,"paid",2010-09-01
"39409",184988,"paid",2010-09-01
"39410",184993,"not paid",NA
"39411",185000,"not paid",NA
"39412",185013,"paid",2010-09-01
"39413",185018,"paid",2011-06-01
"39414",185052,"paid",2010-10-01
"39415",185054,"paid",2012-05-01
"39416",185056,"paid",2010-09-01
"39417",185059,"paid",2010-10-01
"39418",185066,"paid",2010-10-01
"39419",185069,"paid",2010-08-01
"39420",185075,"paid",2010-10-01
"39421",185078,"paid",2010-10-01
"39422",185085,"not paid",NA
"39423",185087,"paid",2010-10-01
"39424",185088,"paid",2010-10-01
"39425",185090,"not paid",NA
"39426",185092,"paid",2010-10-01
"39427",185104,"paid",2010-10-01
"39428",185106,"paid",2010-10-01
"39429",185110,"paid",2010-10-01
"39430",185114,"paid",2010-10-01
"39431",185116,"not paid",NA
"39432",185117,"paid",2010-10-01
"39433",185121,"paid",2010-11-01
"39434",185125,"not paid",NA
"39435",185127,"paid",2010-08-01
"39436",185132,"not paid",NA
"39437",185137,"not paid",NA
"39438",185139,"not paid",NA
"39439",185141,"paid",2011-03-01
"39440",185144,"paid",2010-10-01
"39441",185147,"paid",2011-05-01
"39442",185148,"paid",2010-10-01
"39443",185150,"paid",2011-02-01
"39444",185152,"paid",2010-10-01
"39445",185154,"not paid",NA
"39446",185158,"paid",2010-09-01
"39447",185168,"not paid",NA
"39448",185174,"paid",2011-03-01
"39449",185181,"paid",2011-03-01
