Country Name,Country Code,Series Name,Series Code,2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012]
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,166.276237631689,170.70687366223,194.710640063606,204.544750108233,222.660589178565,236.451353673737,238.205949387117
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,2220.09729120301,2997.70386422945,3503.51149927499,3292.49841215429,3192.39210035382,3537.13983732298,3262.6470579856
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,539.747365398375,629.921071504535,742.397966275428,734.815124508561,782.695732426974,880.310304425532,950.482544612158
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1177.96866154342,1311.00301381483,1476.00921465211,1445.86031977296,1383.81375851573,1497.92666739037,1433.72403512901
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,40504.0607253203,44659.8951408034,46710.5055759013,40876.3101540295,47562.0834253057,52223.696112356,52669.0899632316
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,87187.650903508,89963.9224435374,89707.4530947906,81401.2530844567,76875.9618232493,75438.3300106746,75468.8534358117
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,340.414533389437,388.477786288876,446.228811380306,452.922258619964,459.776946522556,515.209531914838,525.86754317732
Chad,TCD,GDP per capita (current US$),NY.GDP.PCAP.CD,716.667802737587,806.71034912949,936.49422316524,808.161563037331,896.87663574063,988.194214568524,969.616214938776
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,63666.8772417889,75152.6097830544,..,..,..,..,..
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,9418.0627175215,10461.3654213132,10783.1715606341,10182.860471021,12767.7812065383,14628.5724573037,15406.4929435446
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,2099.22943460447,2693.97006340526,3468.30460207434,3832.23643246702,4550.4531077571,5614.35213522574,6300.61511825789
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,3778.52665981682,4760.98121037755,5527.44995277183,5244.353266184,6394.19870546282,7392.45236079278,8101.82909177914
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,1155.08573067909,1289.79480998582,1454.65104425169,1409.10654368237,1384.06327138579,1526.83250550796,1483.95137964493
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,247.541948861851,277.612079551534,317.889214639638,290.155686888202,324.827711041281,376.374981122052,412.776268166757
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,2116.86904449343,2219.91239024697,2848.6534250508,2283.94998409232,2962.7622537687,3415.06256258418,3753.86120747571
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,5188.36179215965,6055.08677891562,6841.91145979684,6737.86024507553,8147.24398481032,9137.45582337247,9971.65090241867
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,1303.56502886369,1451.23258675186,1683.3376609069,1638.80476557543,1654.17783245738,1701.70473363773,1649.30173900093
Croatia,HRV,GDP per capita (current US$),NY.GDP.PCAP.CD,11810.0530029407,14069.3480117633,16461.289132195,14708.8809120687,14124.8108429702,14812.8694716528,13443.1352298628
Cuba,CUB,GDP per capita (current US$),NY.GDP.PCAP.CD,4336.87332999361,4814.85487568512,4992.82449445836,5094.43756186586,5275.53260105122,6106.0067919258,6467.33791422804
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,19446.4565747102,19886.6783682132
